created_at,device_id,lat,lng,organization_name,sacco_name,updated_at
2018-08-01T07:29:17,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2889960666666667,36.84008228333333,Facebook Matatu Project,Umoinner,2018-08-01T07:29:18
2018-08-01T07:34:24,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2889960666666667,36.84008228333333,Facebook Matatu Project,Umoinner,2018-08-01T07:34:25
2018-08-01T07:39:32,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2889960666666667,36.84008228333333,Facebook Matatu Project,Umoinner,2018-08-01T07:39:33
2018-08-01T07:48:28,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2889960666666667,36.84008228333333,Facebook Matatu Project,Umoinner,2018-08-01T07:48:28
2018-08-01T07:48:38,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2889960666666667,36.84008228333333,Facebook Matatu Project,Umoinner,2018-08-01T07:48:39
2018-08-01T07:53:11,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.27950745,36.88752115,Facebook Matatu Project,Umoinner,2018-08-01T07:53:13
2018-08-01T07:53:17,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.27950745,36.88752115,Facebook Matatu Project,Umoinner,2018-08-01T07:53:18
2018-08-01T07:55:44,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2783183666666667,36.89074465,Facebook Matatu Project,Umoinner,2018-08-01T07:55:46
2018-08-01T08:00:00,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2784004166666667,36.890494116666666,Facebook Matatu Project,Umoinner,2018-08-01T08:03:28
2018-08-01T08:06:43,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2784883333333332,36.89052765,Facebook Matatu Project,Umoinner,2018-08-01T08:06:45
2018-08-01T08:10:16,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2783798666666666,36.8903197,Facebook Matatu Project,Umoinner,2018-08-01T08:10:17
2018-08-01T08:20:30,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2783798666666666,36.8903197,Facebook Matatu Project,Umoinner,2018-08-01T08:20:33
2018-08-01T08:25:37,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2783798666666666,36.8903197,Facebook Matatu Project,Umoinner,2018-08-01T08:25:44
2018-08-01T08:39:05,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2783837833333334,36.89032158333333,Facebook Matatu Project,Umoinner,2018-08-01T08:39:09
2018-08-01T08:40:59,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2970218166666667,36.876747566666666,Facebook Matatu Project,Umoinner,2018-08-01T08:41:00
2018-08-01T08:30:45,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2783837833333334,36.89032158333333,Facebook Matatu Project,Umoinner,2018-08-01T08:44:18
2018-08-01T08:46:07,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2976856166666666,36.87147001666666,Facebook Matatu Project,Umoinner,2018-08-01T08:46:08
2018-08-01T08:51:14,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.29575355,36.8581871,Facebook Matatu Project,Umoinner,2018-08-01T08:51:18
2018-08-01T09:01:28,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.29575355,36.8581871,Facebook Matatu Project,Umoinner,2018-08-01T09:01:29
2018-08-01T08:56:21,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.29575355,36.8581871,Facebook Matatu Project,Umoinner,2018-08-01T09:04:25
2018-08-01T09:11:44,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2857329333333334,36.827918616666665,Facebook Matatu Project,Umoinner,2018-08-01T09:11:45
2018-08-01T09:21:58,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2857367166666667,36.82801943333333,Facebook Matatu Project,Umoinner,2018-08-01T09:21:58
2018-08-01T09:27:05,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2857367166666667,36.82801943333333,Facebook Matatu Project,Umoinner,2018-08-01T09:27:06
